Raw Seq ID,Habitat,,,,,
SA3,Sediments,,,,,
SA2,Sediments,,,,,
SA1,Sediments,,,,,
SB3,Sediments,,,,,
SB2,Sediments,,,,,
SB1,Sediments,,,,,
SSB2,Sediments,,,,,
SSB1,Sediments,,,,,
GB4,Seagrass Roots,,,,,
GB3,Seagrass Roots,,,,,
GB2,Seagrass Blades,,,,,
GB1,Seagrass Blades,,,,,
SSA3,Sediments,,,,,
SSA2,Sediments,,,,,
SSA1,Sediments,,,,,
GA4,Seagrass Roots,,,,,
GA3,Seagrass Roots,,,,,
GA2,Seagrass Blades,,,,,
GA1,Seagrass Blades,,,,,
SD1,Sediments,,,,,
SD2,Sediments,,,,,
SC1,Sediments,,,,,
SC2,Sediments,,,,,
F1,Surgeonfish,,,,,
F2,Surgeonfish,,,,,
C1,Surgeonfish,,,,,
C2,Surgeonfish,,,,,
P1,Parrotfish,,,,,
P2,Parrotfish,,,,,
P3,Parrotfish,,,,,
P4,Parrotfish,,,,,
S1,Surgeonfish,,,,,
S2,Surgeonfish,,,,,
S3,Surgeonfish,,,,,
S4,Surgeonfish,,,,,
