#OTU ID,SA1,SA2,SA3,SB1,SB2,SB3,SSB1,SSB2,SD1,SD2,SC1,SC2,GB1,GB2,GB3,GB4,SSA1,SSA2,SSA3,GA1,GA2,GA3,GA4,C1,C2,F1,F2,P1,P2,P3,P4,S1,S2,S3,S4,
3208,81,195,767,96,1022,100,82,75,1639,435,451,411,16,15,5,1,33,73,151,12,13,9,4,0,762,17,6,7,8,1,2,35,4,20,27,"'k__Bacteria', 'p__Cyanobacteria', 'c__Oscillatoriophycideae', 'o__Chroococcales', 'f__Xenococcaceae', 'g__Xenococcus', 's__'"
181996,15,11,6,12,16,9,15,15,19,24,27,16,12,124,35,14,16,13,8,19,44,27,27,1111,308,162,272,1447,3308,3979,227,51,123,74,491,"'k__Bacteria', 'p__Proteobacteria', 'c__Betaproteobacteria', 'o__Burkholderiales', 'f__Oxalobacteraceae', 'g__Herbaspirillum', 's__'"
200274,43,33,18,76,55,36,75,112,7,17,8,10,508,142,9,16,69,40,42,193,31,148,148,0,247,470,483,4,4,2,64,257,168,143,294,"'k__Bacteria', 'p__Proteobacteria', 'c__Alphaproteobacteria', 'o__Rhodobacterales', 'f__Rhodobacteraceae', 'g__', 's__'"
202518,240,266,302,241,560,315,173,177,8,11,10,5,11,13,10,13,222,221,245,6,18,27,10,751,2726,180,3,3,10,3,2,139,1,372,147,"'k__Bacteria', 'p__Cyanobacteria', 'c__Chloroplast', 'o__', 'f__', 'g__', 's__'"
221560,6,9,5,16,15,6,36,13,2,5,1,3,88,3,8,2,13,14,10,32,65,97,113,276,1,139,2,1,3,2,0,91,44,107,0,"'k__Bacteria', 'p__Proteobacteria', 'c__Alphaproteobacteria', 'o__', 'f__', 'g__', 's__'"
251481,54,40,24,141,52,41,112,78,49,84,37,55,581,100,12,18,96,66,42,240,74,371,142,334,326,1369,3162,17,10,943,203,1145,1003,1618,2012,"'k__Bacteria', 'p__Proteobacteria', 'c__Alphaproteobacteria', 'o__Rhodobacterales', 'f__Rhodobacteraceae', 'g__', 's__'"
364960,6,5,4,22,14,9,13,20,2,4,2,4,168,195,3,7,24,12,13,161,31,139,143,1,2,32,205,1,0,1,0,45,1,6,86,"'k__Bacteria', 'p__Proteobacteria', 'c__Alphaproteobacteria', 'o__Rhodobacterales', 'f__Rhodobacteraceae', 'g__', 's__'"
369920,13,5,4,29,13,9,44,20,4,6,5,3,19,0,6,4,14,29,24,18,5,184,50,14,4,436,496,3,4,3,1,394,455,569,966,"'k__Bacteria', 'p__Proteobacteria', 'c__Alphaproteobacteria', 'o__Rhodobacterales', 'f__Rhodobacteraceae', 'g__', 's__'"
369965,1,6,3,22,10,7,7,59,9,10,9,9,252,102,9,1,18,12,14,267,25,269,160,133,252,307,23,1,2,2,20,579,0,113,54,"k__Bacteria', 'p__Proteobacteria', 'c__Alphaproteobacteria', 'o__Rhizobiales', 'f__Phyllobacteriaceae', 'g__', 's__'"
396109,7,2,3,6,2,4,5,6,2,5,28,5,3,10,5,1,2,2,2,3,10,2,6,1,5,6,8,13001,9,2,2,15,38,3,5,"'k__Bacteria', 'p__Bacteroidetes', 'c__Flavobacteriia', 'o__Flavobacteriales', 'f__[Weeksellaceae]', 'g__Cloacibacterium', 's__'"
